"Organisasjonsnummer";"Content"
940030307;"Fondets formål er todelt.  a) Et av formålene var opprinnelig utbetalinger av et nærmere angitt beløp pr. måned til tre begunstigede personer. To av disse har nå falt fra slik at denne del av formålet består av utbetaling av et nærmere angitt beløp, for tiden kr. 1.800,- pr. måned samt julegratiale med kr 500,- til fru Harriet Hviid. Ved forringelse av den norske krones verdi kan det månedlige beløp forhøyes tilsvarende.  b) Leilighetene i legatets eiendom, Riddervoldsgate 8, skal mot en så rimelig leie som mulig, leies ut til enslige kvinner - helst yngre, i alderen 20-40 år - som fortrinnsvis har sitt arbeid innen følgende yrker nevnt i prioritetsrekkefølge: Hushjelper, hjemmehjelper, husmorvikarer, hjelpepleiere, sykepleiere. Går noen leieboer over i et annet yrke har vedkommende rett til å bli boende inntil ca. 1 år utover dette tidspunkt forutsatt at vedkommende forblir ugift. Ingen leieboer har anledning til å ha noen annen person boende hos seg. Dog kan - med legatstyrets samtykke - unntak gjøres for det tilfellet at leieboeren - for en kortere periode - ønsker å gi husly til en annen kvinne med et av de forannevnte yrker. "
940325501;"Relegiøs organisasjon. "
940469376;"Arbeidstakerorganisasjon. "
941069991;"Religiøst trossamfunn. Registrert i henhold til \"Lov om trudomssamfunn og ymist anna.\" "
941589987;"I tilknytning til Lionsbevegelsen selvstendig å drive førehundskole og mobilityskole og det som står i forbindelse med dette.  "
941849059;"Å arbeide for at forsvarsviljen til enhver tid er levende i vårt folk, og for at Norge alltid må ha et forsvar som på en betryggende måte verner landets frihet, uavhengighet og fred.  "
942599595;"Å drive, fremme og organisere tennis for en vekslende medlemsmasse, hvor hvert medlem kun er ansvarlig med sin årlige kontigent. "
943801819;"Fagforbund. "
944384448;"I samarbeid med Den norske kirkes organer og i overensstemmelse med dens bekjennelse å fremme tiltak som bidrar til å virkeliggjøre oppdrag.Formålet søkes fremmet i samarbeid med myndigheter, institusjo organisasjoner og ved hjelp av ansatte og frivillige medarbeidere. Ethvert tiltak som er i overenstemmelse med formålet kan besluttes iverksatt og opprettholdt så lenge det finnes hensiktmessig. Stiftelsen Kirkens Bymisjons organer avgjør selvstendig hvilke oppgaver som skal tas opp og hvilke arbeidsformer som skal anvendes. "
944468285;"Aldersbolig. "
946175986;"Virke for utbredelse av skiidrett og annet friluftsliv. "
946722189;"Oslo Turnforening er et idrettslag som er medlem av Norges Gymnastikk og Turnforbund. Alle aktiviteter er registrert innenfor gym/turn. "
947975072;"Frivillig organisasjon. "
948683636;"HEMING er selveiende og frittstående med bare personlige medlemmer, og formålet er å drive idrett organisert i Norges Idrettsforbund (NIF). "
950850493;"Å samle boligbyggelag i Norge og arbeide for deres felles interesser. "
951434353;"Å formidle hjelp utenfor Norge til flyktninger, katastrofeområde og andre nødlidende uten hensyn til rase, nasjonalitet. politisk oppfatning eller religion, I særlige nødsituasjoner kan også ytes hjelp innenlands. Å drive eller delta i prosjekter som tar sikte på å heve levevilkår og livsstandard for befolkningsgrupper i utviklingsland. Å støtte kirker som trenger hjelp. "
954086569;"Idrettslag. "
955073053;"Være et hjem for studenter. "
956708923;"Ivareta behovene til muslimer bosatt i Norge og bringe videre informasjon om Islam til det norske folket. Ha, nasjonale og internasjonale aviser. Ha, bibliotek med internasjonale og nasjonale språksbøker. "
957914330;"Norges KFUK/KFUM er forpliktet på Guds ord og Den Norske kirkes bekjennelse og har til formål å hjelpe mennesker til levende tro på Jesus Kristus. Norges KFUK/KFUM ønsker å utvikle og ta ansvar for det hele mennesket med ånd, sjel og kropp, og vil utfordre til aktiv tjeneste i kirke og samfunn,nasjonalt og internasjonalt. "
958542410;"Legat som støtter veldedige og allmennyttige formål. "
958561814;"Museumsvirksomhet/vitenskapelig forskning. "
958664222;"Arbeidstakerorganisasjoner. "
960531256;"Selvstendig trossamfunn. "
960893506;"A. Påvirke utviklingen av helsetjenesten slik at den til enhver tid er rettet mot å forebygge og løse befolkningens helseproblemer. B. Påvirke samfunnsforholdene til beste for befolkningens helse. C. Utvikle sykepleietjenesten og sykepleiefaget i samsvar med befolkningens behov for sykepleie. D. Påvirke sykepleierutdannigen i samsvar med sykepleietjenestens og sykepleiefagets utvikling. E. Ivareta sykepleiernes lønns- og arbeidssosiale interesser. F. Videreutvikle en høy etisk sykepleiefaglig standard blant sykepleiere. G. Fremme internasjonal forståelse og solidaritet og gjennom sitt intrnasjonale arbeid bidra til demokratisk utvikling og ivaretakelse av menneskerettighetene. "
961210461;"Klubbens formål er i samarbeid med Norsk Filatelistforbund og andre filatelistiske organisasjoner samt postale myndisheter å - spre kunnskap om og fremme interessen for filateli - bekjempe falsifikater - utgi kataloger over Norges frimerker og andre filatelistiske skrifter. "
961738164;"Leie bort leiligheter og lokaler i sine eien- dommer til eldre i alle samfunnsklasser og til institusjoner som arbeider til fordel for eldre. "
961847818;"Humanitær virksomhet. "
962323855;"Sosialtjenester for rusmisbrukere utenfor institusjon. Institusjon for rusmisbrukere. "
963145853;"Bevare Edvard Munchs atelier på Ekely i Oslo som et nasjonalt kulturminne. Sørge for at atelieret kan brukes som arbeissted for bildende kunstnere. Forvalte og utvikle eiendommen til bruk og for formål som fremmer interessen for og kunnskapen om bildende kunst, til nytte for både kunstnere og allmennheten. Atelierets Munch-tilknytning skal synliggjøres. En skal forsøke å gi tilbud til spesielt Munch-interesserte tilreisende, etablere gjesteatelierordning o.l. "
964437963;"Religøs organisasjon. Spre guds ord til barn i Norge. "
965108602;"Å utøve og støtte diakonal og kirkelig virksomhet. "
965985166;"Sykehusdrift på et ideelt, diakonalt grunnlag samt deltagelse i andre selskaper i denne forbindelse. Selskapet er opprettet av stiftelsene Diakonissehuset og Menighetssøsterhjemmet og skal drive sin virksomhet på deres verdigrunnlag, slik det er forankret i Guds ord og Den norske kirkes bekjennelsesskrifter. Selskapet skal eie og drive virksomhet innen helse- og omsorgssektoren på et diakonalt grunnlag, samt deltagelse i andre selskaper i denne forbindelse. Selskapet har ikke erverv til formål og skal avvikles ved opphør av sykehusdriften. Som diakonalt sykehus skal det behandle og ha omsorg for pasientene som hele mennesker, med hensyn til fysiske, psykiske, sosiale og åndelige behov. Sykehuset skal drive forskning, fagutvikling og forsøksvirksomhet innen sykehusets ansvarsfelt. Sykehuset skal delta i undervisning av ulike faggrupper innen helsetjeneste, diakoni og sjelesorg. "
966251808;"Fagforening for veterinærer i Norge. "
967874698;"Idrettslag. Roklubb. "
970011994;"Undervisning ved universiteter "
970107592;"Stiftelsens formål er gjennom behandling, forebygging, sjelesorg, forskning og fagutvikling å fremme psykisk helse og livskvalitet. "
970135189;"Drift av fornøyelsesetablissementer. "
970168451;"Fagorganisasjon. "
970168532;"Bransjeforening for maler og byggtapetsermesterbedrifter i Oslo og Akershus. Utfører næringspolitisk, konsulent- og servicetjenester for medlemsbedriftene. "
970168982;"Interesseorganisasjoner ellers "
970193634;"Seilerforening. "
970217215;"Arbeidstakerorganisasjon. "
970533427;"Tilbud til døve og døvblinde, og til hørselshemmede som har behov for tilrettelagte tiltak og tjenester i et tegnspråklig kommunikasjonsmiljø. Arbeide for at den enkelte får personlig tilpassede tilbud for egen utvikling og trivsel. Dekkefysiske, psykiske, sosiale og åndelige behov gjennom tilrettelegging av livsmiljø og formidling av kristne verdier. Veiledining og støttetiltak overfor påførende, personell og andre som omgås eller arbeider med målgruppene. "
970955569;"Eiendomsbesittelser (presteboliger, jordbruk, festetomter, eiendomsutvikling), skogbruk og finansplasseringer (aksjer, obligasjoner og utlån). "
971038179;"Interesseorganisasjon for blinde og svaksynte. "
971056541;"Fagforbund. "
971075252;"Arbeidstakerorganisasjon. "
971089601;"Forskning og utviklingsarbeid innen naturvitenskap og teknikk. "
971097914;"Sport og idrett ellers "
971258934;"Fagforening. "
971270071;"Kulturhistorisk stiftelse. "
971273739;"Stiftelsens formål er å fremme alternative politiske og kulturelle interesser i Norge. Formålet ivaretas ved at stiftelsens eiendom, Garveribygningen i Hjelmsgate 5, stilles til disposisjon til grupper, foreninger, selskaper ol hvis virksomheten faller innenfor stiftelsens formål. "
971275898;"Maritastiftelsen er en tverrkirkelig, diakonal stiftelse forankret i den kristne tro og bibelen. Stiftelsens arbeid er rettet mot personer med rus- og adferdsproblematikk. Målet med arbeidet er å forhindre at ungdom begynner å ruse seg, og hjelpe rusmiddelavhengige til et nytt og meningsfylt liv uten rus. Maritastiftelsen driver forebygging, oppsøkende og rehabiliterende virksomhet, etterver, arbeidstrening og verdiformidling. "
971277475;"Dyrebeskyttelsen Norge er en ideell og frivillig organisasjon. Dyrebeskyttelsen Norge er Norges største dyrevernorganisasjon som arbeider for å forbedre dyrs forhold og rettigheter i Norge, og har lokalforeninger over hele landet som arbeider med å hjelpe dyr i nød. "
971279060;"Fagforening. "
971279354;"Trossamfunn. "
971279621;NA
971280301;"Trossamfunn. "
971287578;"Drift og vedlikehold av museet og å verne pietetsfullt om gaven på den måten som testamentet og gavebrevet bestemmer og holde museet åpent for publikum til tider som styret nærmere bestemmer. "
971287683;"Landsdekkende kompetanseutviklingssenter på psykoseområdet. Undervisnings- og informasjonsvirksomhet. "
971427051;"Etter klinikkens statutter § 1 skal Incognito Klinikk være et tilbud til personer med alkoholrelaterte problemer. "
971427396;"Stiftelsen Nordre Aasen administrerer: Nordre Aasen Habiliteringssenter for barn og ungdom gir døgn-/dagtilbud til multihandikappede psykisk utviklingsmennede barn og ungdom. Kapellveien Behandlingssenter gir døgn-/dagtilbud til autistiske psykisk utviklingshemmede barn og ungdom.  "
971435453;"Kristen menighet tilknyttet Det Norske Misjonsforbund. "
971435712;"Sammenslutning av fagorganisasjoner. "
971435755;"Fagforbund-kjemisk industri i Norge. "
971435852;"Eiendomsvirksomhet. "
971436905;"Folkeopplysning og kulturformidling. "
971437146;"Tennisklubb.  "
971437642;"Sosial og åndelig virksomhet. "
971440554;"Drive sykehjem for eldre og kronisk syke, samt tilrettelegge andre tiltak for samme grupper. "
971454407;"Konferansesenter. "
971456329;"Museum. Kiosk - souvnirartikler. "
971474475;"Sosial tjenesteyting. Formidler adopsjon av barn fra andre land, med godkjennelse fra Sosialdepartementet og Barne- og familiedepartementet. Driver også annet hjelpearbeid i landene som det blir samarbeidet med. "
971479167;"Barnehage. "
971479256;"Barnehagedrift. "
971488239;"Barnehage. "
971491450;"Politisk parti. "
971492937;"Dokumentasjon, forskning og opplysningsvirksomhet. "
971497076;"Barnehage. "
971497769;"Frivillig humanitært arbeid. Salg av førstehjelpsutstyr og kurs. Førstehjelp. "
971500662;"Barnehagedrift. "
971524650;"Kristent arbeid blant skoleelever og studenter. "
971524901;"Drift av sykehjem. "
971524952;"Til verdige og uforsørgede enker og ugifte kvinder af den dannede klasse, fri bolig med brænde i en dertil passende bygning, der er bestemt at skulle oppføres på den skjenkede eiendom, samt å yde herav disse damer en månedlig renteportion af stiftelsen. "
971525401;"Dagsenter, alders og sykehjem. "
971525614;"Den amerikanske kirke i Norge "
971526246;"Undervisning grunnskole og videregående trinn, almenfag. "
971526491;"Relgiøs virksomhet. "
971526726;"\"Arbeidstakerorganisasjon\". "
971529652;"Alminnelige somatiske sykehustjenester. "
971535660;"Å drive dagsentervirksomhet for mennesker med psykisk utviklingshemming. "
971540788;"Å drive dagsenter på initiativ av Støttelaget for psyk. utvikl.hem Å drive annen virksomhet som naturlig kan knyttes til dagsenterets drift, drift av vernede verksteder og avlastning, eksterne aktiviteter som vil komme psyk. utvikl.hem. til gode. "
974230887;"Kirkesamfunn med utgivelse av tidsskrifter (hovedorgan+andakshefte) og bøker (årbok-sangbok-notebok etc). "
974365847;"Utleie, salg av reklame,kiosk. "
974687372;"Pensjonering av tidligere funksjonærer i Joh. Jørg. Backe AS eller deres etterlatte ektefeller, og økonomisk støtte til veldedige organisasjoner som på forsvarlig måte supplerer den offentlige sosiale virksomhet, fortrinnsvis gjennom oppsøkende virksomhet overfor eldre mennesker som i særlig grad har behov for bistand. "
974760851;"Helseinstitusjon. "
974917459;"Å drive et senter for barn og voksne med insulinkrevende diabetes fra hele landet. "
974922401;"\"Sjelenes frelse\". Fremmes ved daglige gudstjenester (messer og tidebønner). Kapellet er åpent for alle. Det tilbys innføring i romersk katolsk troslære og sjelesorg, samt foredrag og kulturelle emner. "
975365581;"Legatets formål er å støtte samfunnsnyttige og kulturelle tiltak ved tildeling av midler. "
975413861;"Å leie ut lokaler til stat, kommune eller ideelle humanitære organisasjoner til bruk for fortrinnsvis kriminalomsorg i frihet. Utleievirksomheten skal ikke ha til formål å gi Stiftelsen økonomisk vinning. Eventuelt overskudd som ikke avsettes til senere dekning av utgifter til vedlikehold m.v. skal anvendes til ulike tiltak for Kriminalomsorg i frihets klienter. Stiftelsen forvalter gaver/legater o.l. som skal tilgodeses friomsorgens klienter. "
975506029;"Foreningens oppgave er: a) å fremme Den norske lægeforenings formål. b) å virke for institusjonshelsetjenestens utvikling. c) å fremme de faglige, helsemessige, sosiale og økonomiske interesser for overleger ved sykehus og lignende institusjoner, herunder samordne arbeidet for overlegers lønns- og arbeidsforhold. d) å fremme interessen for ledelse og administrasjon i institusjons- helsetjenesten. e) å utvikle gode samarbeidsformer med andre deler av helsetjenesten. "
975611515;"Islamsk religion. "
975623343;"Til fattige barns underholdning, lærdom og oppdragelse.  "
975853551;"Eiendomsforvaltning av kirkebygg m.v. "
975988155;"Eie eiendommen Erling Skjalgssonsgt. 2 i Oslo, som leies ut til bruk for psykisk utviklingshemmede. "
976019660;"Å eie og drive eiendommen Frognerveien 27 B som bolig for sognepresten i Frogner menighet. "
976045068;"Idrettslag, padling/kajakk. "
976068408;"Å eie/leie/erverve og forvalte faste eiendommer og leiligheter til beste for Nordberg menighet, Oslo. "
976268423;"Formålet er å drive virksomhet i sofienberg menighet basert på det verdigrunnlag som sofienberg menighet bygger på,ved bl.a. å utvikle,bygge ut,drive og evt. leie ut eiendommer. "
976320379;"Menighetsdrift. "
976433041;"Museal virksomhet(utstillinger,omvisning,aktivitetsprogrammer). "
976580052;"Eie og drive hytten \"Huldreheim\" til beste for medlemmene i Ski- og Fotballklubben Lyn. \"Huldreheim\" skal kun leies ut til spesielle arrangementer forhåndsgodkjent av styret. Varig utleie er forbudt. Driften av \"Huldreheim\" er forutsatt å være basert på inntekter av driften og evt. tilskudd fra Ski- og Fotballklubben Lyn, evt. fra andre. "
976599489;"Ressurs og veiledningssenter, samt kulturaktivitet. "
976723724;"Kirkesamfunn. "
977125871;"Utgifter til og tilsyn av donatorenes gravsteder. Sosiale og velferdsmessige tiltak for pasientene ved Oslo Hospitals institusjoner. "
977127769;"Å fremme kristne verdier og holdninger gjennom utdanning, tjeneste og åndelig fordypning. Å utdanne verdibevisste og kvalitetsbevisste yrkesutøvere til helse- og omsorgstjeneste. Utdanningen skal være forankret i og preget av et diakonalt verdigrunnlag. Å utøve diakonal virksomhet gjennom helse- og omsorgstjenester. "
977128595;"Yte økonomiske bidrag til grunnforskning, og translasjonsforskning og klinisk forskning innen kreftområde ved Radiumhospitalet og Institutt for Kreftforskning, eller ved den organisatoriske enhet som til enhver til viderefører dette forskningsarbeid. "
977129710;"Å bygge og drive aldersboliger, servicehjem og eldresenter på Majorstuen, samt drive annen aktiv eldreomsorg innen Majorstuen Menighet. "
977134749;"Til oppførelse av et mindre barnehjem i Oslo. "
977140986;"Å verne, bevare, vedlikeholde og drive bygningen Grev Wedels plass 2 og sikre at bygningen tas i bruk til publikumsrettede formål med hovedvekt på kulturell virksomhet. "
977142385;"Utleie av boliger, fortrinnsvis til eldre kvinnelige hushjelper. "
977142741;"Stiftelsen har som formål å erverve leiligheter samt arealer ved kjøp eller feste, bebygge disse med boliger for ansatte ved institusjoner under Støttelaget for psykisk utviklingshemmede i Oslo, samt eie og drive disse boliger. "
977143055;"Stiftelsens formål er drift av bedriftsbarnehage. "
977143985;"Stiftelsens ideelle formål er å støtte og fremme antroposofisk arbeid i Norge, herunder å stille egnede lokaler til disposisjon. "
977365325;"Menighetsvirksomhet. "
977506832;"Å eie og drive skoler godkjent etter de til enhver tid godkjente lover og forskrifter for friskoler, basert på Rudolf Steiners pedagogiske ideer og delta i virksomhet forbundet med dette, herunder eie og drive skolebygninger. "
978668968;"Islamsk menighet. "
979137478;"Touring-klubb. Klubben skal gjennom samarbeide og kameratskap fremme et sunt motorsykkelmiljø både innad og utad. "
979251793;"Velforening. Utleie av velforeningens lokaler. Juletrefester og lignende arr. "
979252625;"Sjømannsforening. "
979252668;"Skytterlag "
979252919;"Boligstiftelse for pensjonerte misjonærer i Det Norske Misjonsselskap. "
979415427;"Stiftelsen skal drive kunstgressanlegg på Manglerud for idrettslaget Manglerud Star. "
979456123;"Leie ut til stat eller kommune, lokaler til bruk som hybelhus for klienter under kriminalomsorg i frihet.  "
979625030;"Å yte bidrag til billedkunst og forskning innen området anvendt fysikk. "
979706596;"Trossamfunn. "
979781644;"Idrettslag. "
980002837;"Islamsk menighet. "
980204952;"Drive klubbhus (for å styrke mulighetene for mennesker med psykiske lidelser til å oppnå likeverdig tilværelse i samfunnet. "
980677559;"Økonomisk støtte til kristne norske eldre, sosialt trengende, samt handikappede barn. "
981283120;"Tilby boliger til personer som på grunn av alvorlige og langvarige psykiske lidelser har vanskelig med å etablere seg i egne boliger. "
981383869;"Velforening som ivaretar fellesinteresse for bedriftene på Tveita Bedriftsområde. "
981390768;"Barnehage, ideell stiftelse. "
981414055;"Formålet med stiftelsen er å støtte de psykisk utviklingshemmedes sak i Oslo. "
981896572;"Stiftelsens formål er å tilgodese grupper og enkeltpersoner, fortrinnsvis innen Uranienborg menighet med pleie, omsorg og aktiviteter i samarbeid med Uranienborg menighet, som supplement til tilbud som det påligger det offentlige å yte. Dertil skal Stiftelsen bidra til Uranienborg menighets øvrige diakonale arbeid innen menigheten i medhold av kirkeloven § 9, første og annet ledd. "
981928989;"Trossamfunn - kristen menighet. "
983389740;"Bokutsalg. "
983644201;"Trossamfunn. "
983979106;"Idrettsklubb, kampsport, karate og Nanbudo. "
984049935;"Idrettslag. "
984079532;"Forening med formål å fremme kunsthåndverkeres levekår. "
984084234;"Losje tilknyttet Birkebeinerordenen "
984181973;"Støtte den vitenskapelige forskningsinnsats for kreftforskningen, bl.a. på biokjemiens område ved Radiumhospitalet i Oslo. "
984196067;"Religiøs organisasjon. "
984694407;"Muslimsk senter i Norge. Trossamfunn. Religionopplæring o.l. "
984898436;"Idrettsklubb - boksing. "
984998988;"Menigheten er evangelisk kristen og bygger sin bekjennelse og lære på bibelen som Guds åpenbarte ord. Fri evangelisk med oppbygging etter nye testament forbilde. Virksomheten foregår hovedsakelig ved evangeliske møter, søndagsskole og misjonsvirksomhet i andre land etc. "
985312109;"Skiklubb. "
987104554;"Menighet tilknyttet Det Norske Baptistsamfunn. "
987360216;"Fylkesforening av Norske kvinners sanitetsforening. "
987807709;"Kristent trossamfunn. "
990892261;"Formålet er å bygge, eie og drive en moske for medlemmene av det somaliske sunni-muslimske trossamfunnet. Moskeen skal ha følgende hovedoppgaver: - Bønner - Arrangement i forbindelse med muslimske tradisjoner - Undervisning i islam og muslimsk kultur - Veiledning rettet mot saker som helse, vigsler og begravelse - Foredrag - Rådgivning. "
990922411;"Barne- og ungdomsarbeid på Bryn. "
991955283;"Foreningsvirksomhet i nærmiljøet. "
992556560;"Drift av barnehager. "
992904631;"Menighet. "
993126454;"Religiøs menighet. "
993421804;"Stille tidsmessig og tilstrekkelige lokaler til disposisjon for Grefsen KFUK-speidere. "
994958844;"Religiøse og sosiale aktiviteter. "
995004526;"Forkynne det gode budskap om Guds rike bassert på ordene i Matteus 24: 41 og 28: 19-20. Fremme og praktisere bibelens lære slik at den framholdes av trossamfunnet Jehovas vitner. "
995250160;"Fremme buddhistisk tro gjennom undervisning, studier, praksis og overholdelse av moralsk disiplin innen Mahayana Buddhist-tradisjonen grunnlagt av Venerable Geshe Kelsang Gyatso. Tradisjonen er avledet fra de buddhistiske meditasjonslærerne og filosofene Atisha og Je Tsongkhapa. "
995672448;"Møtevirksomhet, kurs, arbeide blant barn og unge, besøke eldre, syke og andre trengende. "
996767582;"Kristen menighet tilsluttet Det Norske Baptistsamfunn. "
997275209;"Religiøs organisasjon. "
998837073;"Motta, eie og forvalte eiendommene \"Kunst- og opplevelsessentere\" på Tjuvholmen. "
817066542;"AS KAREA-Varbas er en tiltaksbedrift som tilbyr karriereveiledning , kvalifisering gjennom ulike produksjonsområder. Vi er godkjent lærlingebedrift innenfor 10 ulike fagområder. I tillegg gir vi tilbud om tilrettelagt arbeid for de som trenger det. Vi produserer varer og tjenester i mekanisk sektor, bilverksted, kantiner, søm, IKT-verksted, renhold, vaktmestertjenester, grafisk design, pakking av varer for kunder, nettbutikker m.m. "
834502712;"Inneha og leie ut eiendom som bidrar til gjennomføring av Oslo kommunes vedtatte avfallpolitikk, samt investeringer og andre aktiviteter som står i forbindelse med dette. "
897039842;"Eie, leie ut og ellers drifte fast eiendom, samt annen relevant investeringsaktivitet og annet som står i forbindelse med det foranstående. "
910568183;"Å være et serviceorgan for alle typer offentlige bibliotek. Å ha til oppgave å være hovedleverandør av bøker, innbindingstjenester, bibliotekmateriell, inven- tar og innredning, bibliografiske produkter og hjelpemidler og andre hjelpemidler/tjenester til bibliotekene og liknende institusjoner. Å drive etter vanlige bedriftsøkonomiske prinsipp- er, slik at det skapes økonomisk trygghet og ut- viklingsmuligheter og slik at medlemmenes inter- esser ivaretas på beste måte. "
915070434;"Selv, eller gjennom deltagelse i og samarbeide med andre selskaper å forestå persontransport, samt annen virksomhet i naturlig forbindelse med dette.  "
921587031;"Handel med og investering i fast eiendom, utleie av fast eiendom, investering i verdipapirer og andre formuesobjekter, herunder deltakelse i andre selskaper med lignende virsomhet. "
938708606;"Selskapets formål er å ivareta medlemmenes behov for livs- og pensjonsforsikringer. Det kan herunder, selv eller gjennom datterselskaper, drive enhver virksomhet som er tillatt for livsforsikringselskaper. Selskapet kan drive virksomhet som naturlig henger sammen med livsforsikringsvirksomhet, og det kan eie andre forsikringselskaper og selskaper som driver pensjons- og forsikringservice. KLP kan gi konsernbidrag til sine datterselskaper.  Selskapet kan forestå administrasjon og forvaltning av kommunale pensjonskasser og pensjonsordninger etablert på grunnlag av tariffavtaler eller overenskomst mellom partene i lønnsoppgjør som gjelder selskapets forsikringstakere. Videre kan selskapet på grunnlag av avtale med Staten administrere og forvalte pensjonsordninger etablert ved lov og det kan administrere Norsk Pasientskadeerstatning. "
958935420;"Kommune "
962942172;"-Selge energi. -Drive annen virksomhet i forbindelse med ovennevnte formål. -Eie og forvalte aksjer og andre eiendeler i tilknytning til energivirksomhet. "
985615616;"Persontransport med buss. "
985627134;"Forvaltning av fast eiendom. "
989866176;"Eie og drive fast eiendom. "
990222770;"Kjøp, salg, utleie og utvikling av fast eiendom, og hva som hermed står i forbindelse, samt investering i andre selskaper. "
991611312;"Eie, utvikle og drive eiendommen Kabelgata 6 samt virksomhet som står i forbindelse med dette. Virksomheten skal drives etter forretningsmessige prinsipper. "
991847774;"Eie, utleie, drift og forvaltning av fast eiendom selv eller gjennom hel- eller deleide selskaper samt annen virksomhet i denne forbindelse. "
992058978;"Kjøp, salg, utleie, drift og utvikling av fast eiendom, og hva som hermed står i forbindelse. "
992058994;"Kjøp, salg, utleie, drift og utvikling av fast eiendom, og hva som hermed står i forbindelse. "
992612118;"Eiendomsutvikling. "
